latitude,longitude,speed,sats
28.073932, -16.690866, 34.7, 4
28.073932, -16.690866, 34.7, 4
28.073932, -16.690866, 34.7, 4
28.073932, -16.690866, 34.7, 4
28.073932, -16.690866, 34.7, 4
28.073925, -16.690881, 35.0, 4
28.073925, -16.690881, 35.0, 4
28.073925, -16.690881, 35.0, 4
28.073925, -16.690881, 35.0, 4
28.073915, -16.690900, 34.9, 4
28.073915, -16.690900, 34.9, 4
28.073915, -16.690900, 34.9, 4
28.073915, -16.690900, 34.9, 4
28.073906, -16.690918, 35.1, 4
28.073906, -16.690918, 35.1, 4
28.073906, -16.690918, 35.1, 4
28.073906, -16.690918, 35.1, 4
28.073897, -16.690935, 35.0, 4
28.073897, -16.690935, 35.0, 4
28.073897, -16.690935, 35.0, 4
28.073897, -16.690935, 35.0, 4
28.073890, -16.690953, 35.6, 4
28.073890, -16.690953, 35.6, 4
28.073890, -16.690953, 35.6, 4
28.073890, -16.690953, 35.6, 4
28.073881, -16.690972, 36.3, 4
28.073881, -16.690972, 36.3, 4
28.073881, -16.690972, 36.3, 4
28.073881, -16.690972, 36.3, 4
28.073874, -16.690991, 36.3, 4
28.073874, -16.690991, 36.3, 4
28.073874, -16.690991, 36.3, 4
28.073874, -16.690991, 36.3, 4
28.073866, -16.691011, 37.2, 4
28.073866, -16.691011, 37.2, 4
28.073866, -16.691011, 37.2, 4
28.073866, -16.691011, 37.2, 4
28.073859, -16.691031, 37.3, 4
28.073859, -16.691031, 37.3, 4
28.073859, -16.691031, 37.3, 4
28.073859, -16.691031, 37.3, 4
28.073851, -16.691051, 37.8, 4
28.073851, -16.691051, 37.8, 4
28.073851, -16.691051, 37.8, 4
28.073851, -16.691051, 37.8, 4
28.073844, -16.691072, 38.2, 4
28.073844, -16.691072, 38.2, 4
28.073844, -16.691072, 38.2, 4
28.073844, -16.691072, 38.2, 4
28.073836, -16.691092, 38.6, 4
28.073836, -16.691092, 38.6, 4
28.073836, -16.691092, 38.6, 4
28.073836, -16.691092, 38.6, 4
28.073828, -16.691113, 38.8, 4
28.073828, -16.691113, 38.8, 4
28.073828, -16.691113, 38.8, 4
28.073828, -16.691113, 38.8, 4
28.073821, -16.691133, 38.8, 4
28.073821, -16.691133, 38.8, 4
28.073821, -16.691133, 38.8, 4
28.073821, -16.691133, 38.8, 4
28.073812, -16.691154, 39.2, 4
28.073812, -16.691154, 39.2, 4
28.073812, -16.691154, 39.2, 4
28.073812, -16.691154, 39.2, 4
28.073804, -16.691175, 40.2, 4
28.073804, -16.691175, 40.2, 4
28.073804, -16.691175, 40.2, 4
28.073804, -16.691175, 40.2, 4
28.073795, -16.691196, 40.5, 4
28.073795, -16.691196, 40.5, 4
28.073795, -16.691196, 40.5, 4
28.073795, -16.691196, 40.5, 4
28.073785, -16.691216, 40.9, 4
28.073785, -16.691216, 40.9, 4
28.073785, -16.691216, 40.9, 4
28.073785, -16.691216, 40.9, 4
28.073773, -16.691236, 41.4, 4
28.073773, -16.691236, 41.4, 4
28.073773, -16.691236, 41.4, 4
28.073773, -16.691236, 41.4, 4
28.073760, -16.691256, 42.1, 4
28.073760, -16.691256, 42.1, 4
28.073760, -16.691256, 42.1, 4
28.073760, -16.691256, 42.1, 4
28.073747, -16.691276, 43.1, 4
28.073747, -16.691276, 43.1, 4
28.073747, -16.691276, 43.1, 4
28.073747, -16.691276, 43.1, 4
28.073733, -16.691296, 43.5, 4
28.073733, -16.691296, 43.5, 4
28.073733, -16.691296, 43.5, 4
28.073733, -16.691296, 43.5, 4
28.073718, -16.691316, 44.2, 4
28.073718, -16.691316, 44.2, 4
28.073718, -16.691316, 44.2, 4
28.073718, -16.691316, 44.2, 4
28.073703, -16.691336, 45.2, 4
28.073703, -16.691336, 45.2, 4
28.073703, -16.691336, 45.2, 4
28.073703, -16.691336, 45.2, 4
28.073687, -16.691356, 46.0, 4
28.073687, -16.691356, 46.0, 4
28.073687, -16.691356, 46.0, 4
28.073687, -16.691356, 46.0, 4
28.073670, -16.691374, 46.8, 4
28.073670, -16.691374, 46.8, 4
28.073670, -16.691374, 46.8, 4
28.073670, -16.691374, 46.8, 4
28.073653, -16.691393, 47.1, 4
28.073653, -16.691393, 47.1, 4
28.073653, -16.691393, 47.1, 4
28.073653, -16.691393, 47.1, 4
28.073635, -16.691412, 47.7, 4
28.073635, -16.691412, 47.7, 4
28.073635, -16.691412, 47.7, 4
28.073635, -16.691412, 47.7, 4
28.073617, -16.691429, 47.7, 4
28.073617, -16.691429, 47.7, 4
28.073617, -16.691429, 47.7, 4
28.073617, -16.691429, 47.7, 4
28.073598, -16.691447, 48.1, 4
28.073598, -16.691447, 48.1, 4
28.073598, -16.691447, 48.1, 4
28.073598, -16.691447, 48.1, 4
28.073578, -16.691465, 48.4, 4
28.073578, -16.691465, 48.4, 4
28.073578, -16.691465, 48.4, 4
28.073578, -16.691465, 48.4, 4
